datetime,market_price,temp,humidity,wind_speed,cloud_coverage,irradiance,direct_radiation,dni
2026-03-07 18:00:00,43.79,10.2,94,11.8,100,44.5,-0.2,0
2026-03-07 19:00:00,38.52,10.3,92,10.2,100,22.5,-1.0,0
2026-03-07 20:00:00,64.29,9.6,93,15.1,100,1.0,0,0
2026-03-07 21:00:00,59.59,9.2,93,5.4,99,0,0,0
2026-03-07 22:00:00,39.42,9.3,94,7.9,100,0,0,0
2026-03-07 23:00:00,69.92,9.2,93,6.4,100,0,0,0
2026-03-08 00:00:00,50.54,9.3,92,4.7,98,0,0,0
2026-03-08 01:00:00,31.99,9.7,91,3.3,98,0,0,0
2026-03-08 02:00:00,56.36,9.3,94,3.5,98,0,0,0
2026-03-08 03:00:00,23.44,9.2,94,6.3,51,0,0,0
2026-03-08 04:00:00,27.33,8.8,95,5.1,23,0,0,0
2026-03-08 05:00:00,17.61,9.1,96,5.4,33,0,0,0
2026-03-08 06:00:00,21.3,8.7,94,4.1,50,0,0,0
2026-03-08 07:00:00,16.83,8.7,93,2.7,29,0,0,0
2026-03-08 08:00:00,16.48,8.7,94,3.1,47,3.5,2.8,50.9
2026-03-08 09:00:00,14.63,9.8,93,4.4,26,92.8,40.8,252.4
2026-03-08 10:00:00,16.67,11.5,88,2.5,31,260.0,129.8,373.2
2026-03-08 11:00:00,18.84,12.9,80,5.7,23,406.2,232.5,442.6
2026-03-08 12:00:00,56.1,13.8,74,2.2,16,619.5,445.8,671.1
2026-03-08 13:00:00,35.43,15.1,75,2.3,40,666.8,409.5,542.5
2026-03-08 13:15:00,35.43,15.4,75,2.9,35,610.0,369.0,469.4
2026-03-10 09:45:00,19.89,22.6,86,16.8,100,227.0,3.0,7.9
2026-03-10 10:00:00,23.29,22.7,86,18.1,100,216.0,16.0,37.3
2026-03-10 10:15:00,23.29,22.8,86,17.0,100,257.0,-8.0,0.0
2026-03-10 10:30:00,23.29,22.7,82,19.8,100,279.0,1.0,1.9
2026-03-10 10:45:00,23.29,23.3,80,22.8,100,450.0,163.0,293.2
