market_price,grid_demand,temp,humidity,wind_speed,cloud_coverage,irradiance,direct_radiation,dni,energy_output,price_lag_1h,price_lag_2h,price_lag_3h,price_lag_24h,price_lag_168h,demand_lag_1h,demand_lag_24h,price_rolling_6h,price_rolling_24h,demand_rolling_6h,price_diff_1h,price_diff_24h,hour,day_of_week,is_weekend,is_peak_hour
15.77,44049.28,15.4,55,6.4,0,0.0,0.0,0.0,47.84,19.32,20.66,20.08,18.39,18.02,45631.1,42904.89,20.323333333333334,16.731666666666666,47763.30833333333,-3.5500000000000007,-2.620000000000001,0,5,1,0
15.85,42863.91,14.2,61,5.3,0,0.0,0.0,0.0,34.34,15.77,19.32,20.66,15.06,16.66,44049.28,41810.6,18.956666666666667,16.76458333333333,46424.86166666667,0.08000000000000007,0.7899999999999991,1,5,1,0
16.18,42010.11,13.6,64,10.5,0,0.0,0.0,0.0,99.4,15.85,15.77,19.32,12.56,16.03,42863.91,41163.62,17.976666666666663,16.915416666666665,45109.94166666667,0.33000000000000007,3.619999999999999,2,5,1,0
17.58,41431.84,13.2,67,10.0,0,0.0,0.0,0.0,92.42,16.18,15.85,15.77,13.37,14.6,42010.11,41016.18,17.56,17.090833333333332,43882.113333333335,1.3999999999999986,4.209999999999999,3,5,1,0
16.65,41298.5,12.7,71,12.4,0,0.0,0.0,0.0,124.48,17.58,16.18,15.85,16.01,14.43,41431.84,41447.59,16.891666666666666,17.117499999999996,42880.79,-0.9299999999999997,0.639999999999997,4,5,1,0
20.25,41621.64,11.9,77,12.1,0,0.0,0.0,0.0,125.73,16.65,17.58,16.18,19.22,15.31,41298.5,42430.75,17.046666666666667,17.160416666666666,42212.54666666667,3.6000000000000014,1.0300000000000011,5,5,1,0
22.87,42555.27,11.0,87,12.0,0,0.0,0.0,0.0,125.54,20.25,16.65,17.58,21.49,13.46,41621.64,44131.57,18.23,17.217916666666664,41963.545,2.620000000000001,1.3800000000000026,6,5,1,0
25.12,43711.16,10.2,89,13.5,1,0.0,0.0,0.0,127.19,22.87,20.25,16.65,22.0,13.46,42555.27,45486.96,19.775000000000002,17.347916666666666,42104.753333333334,2.25,3.120000000000001,7,5,1,0
18.46,45115.12,9.8,83,13.1,0,8.0,3.0,39.0,125.15,25.12,22.87,20.25,16.99,12.43,43711.16,46141.26,20.154999999999998,17.409166666666668,42622.255,-6.66,1.4700000000000024,8,5,1,0
15.0,46226.92,10.3,73,14.0,0,133.0,89.0,519.1,135.72,18.46,25.12,22.87,4.81,10.89,45115.12,46683.57,19.724999999999998,17.83375,43421.435000000005,-3.460000000000001,10.190000000000001,9,5,1,0
